	message	method	score	actual	runtime(ns)	range
23	"$pappar.txt
=?$pappar.txt"	C-SIM	0.9818181818181818	C-SIM	0.0478515625	>8
25	"$romdon.txt
=?$romdon.txt"	C-SIM	0.9818181818181818	C-SIM	0.0380859375	>8
40	"$musicTest.mp4
=?$musicTest.mp4"	C-SIM	0.9857142857142858	C-SIM	0.0361328125	>8
41	"$aman.txt
=?$aman.txt"	C-SIM	0.9777777777777776	C-SIM	0.037841796875	>8
44	"$potter.txt
=?$potter.txt"	C-SIM	0.9818181818181818	C-SIM	0.02197265625	>8
47	"$drake.txt
=?$drake.txt"	C-SIM	0.98	C-SIM	0.02001953125	>8
51	"$recipe.txt
=?$recipe.txt"	C-SIM	0.9818181818181818	C-SIM	0.034912109375	>8
55	"$pappar.txt
=?$pappar.txt"	C-SIM	0.9818181818181818	C-SIM	0.06103515625	>8
58	"$potter.txt
=?$potter.txt"	C-SIM	0.9818181818181818	C-SIM	0.031005859375	>8
67	"$animalHouse.txt
=?$aman.txt"	C-SIM	0.8125	C-SIM	0.02685546875	>8
68	"$animalHouse.txt
=?$animalHouse.txt"	C-SIM	0.9875	C-SIM	0.029052734375	>8
74	"$aman.txt
=?$aman.txt"	C-SIM	0.9777777777777776	C-SIM	0.02001953125	>8
77	"$drake.txt
=?$drake.txt"	C-SIM	0.98	C-SIM	0.026123046875	>8
86	"$crossingSong.mp3
=?$crossingSong.mp3"	C-SIM	0.9882352941176472	C-SIM	0.0322265625	>8
